run_id,status,round_final,modularity,in_degree_top10_share,gini_in_degree,cross_cluster_citation_rate,separation_ratio,share_conform_topK,share_diff_topK,payoff_conform_cum_mean,payoff_diff_cum_mean,topk_turnover_rate,generated_count,mode,strategy_policy,rebel_ratio,master_visibility_boost,finished_at
e1-s1-r1-baseline_random-imitation_only-rr0p00,ok,20,0.5859222412109375,0.1913357400722021,0.6623356719569511,0.5671641791044776,1.092424346913054,0.2125,0.7875,1.0476190476190477,0.6428571428571429,0.15,2.0,baseline_random,imitation_only,0.0,,2026-03-06T20:13:45
e1-s2-r1-baseline_random-differentiation_only-rr1p00,ok,20,0.6043072702331962,0.1805555555555555,0.6410180817610063,0.4477611940298507,1.063057783513842,0.1875,0.8125,0.7857142857142857,0.5,0.1624999999999999,2.0,baseline_random,differentiation_only,1.0,,2026-03-06T20:27:11
e1-s3-r1-baseline_random-self_consistency_only-rr0p00,ok,20,0.6263337968098236,0.1927272727272727,0.6805317324185247,0.417910447761194,1.0788724135958812,0.2,0.8,0.8809523809523809,0.5952380952380952,0.0875,2.0,baseline_random,self_consistency_only,0.0,,2026-03-06T20:43:11
e2-s1-r1-norm_only-imitation_only-rr0p00,ok,20,0.512388681413387,0.1764705882352941,0.928066037735849,0.4461538461538462,1.4063156889463089,0.3375,0.6625,3.380952380952381,0.0,0.0749999999999999,2.0,norm_only,imitation_only,0.0,,2026-03-06T20:54:19
e2-s2-r1-norm_only-differentiation_only-rr1p00,ok,20,0.3915775034293552,0.1437908496732026,0.9159267480577136,0.3384615384615385,1.121496730422153,0.375,0.625,3.3333333333333335,0.0,0.0374999999999999,2.0,norm_only,differentiation_only,1.0,,2026-03-06T21:08:54
e2-s3-r1-norm_only-self_consistency_only-rr0p00,ok,20,0.4851885352478941,0.1756756756756756,0.9239546149923508,0.3384615384615385,1.0702023562770744,0.325,0.675,3.4285714285714284,0.0,0.0124999999999999,2.0,norm_only,self_consistency_only,0.0,,2026-03-06T21:20:34
e3-s1-r1-dual_patronage-imitation_only-rr0p00,ok,20,0.5498915816326531,0.2105263157894736,0.8629282522343595,0.4796747967479675,1.501251369079923,0.3625,0.6375,4.071428571428571,2.642857142857143,0.0,2.0,dual_patronage,imitation_only,0.0,,2026-03-06T21:36:35
e3-s2-r1-dual_patronage-differentiation_only-rr1p00,ok,20,0.5148166666666667,0.228125,0.8554834905660378,0.6271186440677966,1.4333050828163243,0.2875,0.7125,2.8095238095238093,2.761904761904762,0.0,2.0,dual_patronage,differentiation_only,1.0,,2026-03-06T21:50:30
e3-s3-r1-dual_patronage-self_consistency_only-rr0p00,ok,20,0.5194803127884646,0.2265861027190332,0.8498403921792168,0.3636363636363636,1.4408857929733474,0.3125,0.6875,2.9761904761904763,4.023809523809524,0.0374999999999999,2.0,dual_patronage,self_consistency_only,0.0,,2026-03-06T22:04:21
